# timestamp tx ty tz qx qy qz qw
1788506797.602186918 -35.505002449 -59.703747294 0.679287441 0.047593349 0.004675548 0.809874939 0.584649976
1788506797.702078104 -35.514851095 -59.673661129 0.686395129 0.049294735 0.007246975 0.810118467 0.584145170
1788506797.801940918 -35.521516507 -59.667938660 0.687343400 0.047275182 0.003910272 0.810241222 0.584173715
1788506797.901765108 -35.532759668 -59.632836063 0.689498893 0.047653429 0.005762691 0.810909791 0.583199154
1788506798.001595020 -35.544267622 -59.602230478 0.685120928 0.047689031 0.004047686 0.810648501 0.583573801
1788506798.101425886 -35.549608729 -59.564449225 0.684546698 0.048086610 0.007058491 0.811037763 0.582971357
1788506798.201186895 -35.550879063 -59.558645417 0.685594956 0.050355234 0.005128043 0.811261474 0.582488518
1788506798.300895929 -35.572540637 -59.530776002 0.691076862 0.047552326 0.006074082 0.814218110 0.578576487
1788506798.400754929 -35.574297776 -59.500020998 0.694533753 0.051885746 0.005957537 0.814037033 0.578460099
1788506798.500502110 -35.589299563 -59.477967273 0.699517592 0.047181057 0.006487243 0.816044760 0.576023275
1788506798.600361109 -35.603375422 -59.456137922 0.694014600 0.050443945 0.003658844 0.816846470 0.574633679
1788506798.700068951 -35.627873743 -59.415463923 0.696657833 0.047049515 0.004865101 0.819483020 0.571148189
1788506798.799784899 -35.635456304 -59.400381834 0.690132794 0.049639247 0.003920775 0.821816910 0.567571616
1788506798.899580002 -35.656716292 -59.366330585 0.694085362 0.049591729 0.003555245 0.823586056 0.565007990
1788506798.999367952 -35.660494365 -59.344801399 0.697284891 0.051231842 0.003524221 0.825208735 0.562488597
1788506799.099307060 -35.662288344 -59.336153947 0.691962286 0.053897441 0.002243023 0.824339378 0.563519853
1788506799.199098110 -35.686414079 -59.319797781 0.700539715 0.053051156 0.000631112 0.825501645 0.561900534
1788506799.298906088 -35.707300734 -59.271921708 0.695331421 0.049040037 0.000442840 0.827787010 0.558894931
1788506799.398763895 -35.718620912 -59.254106928 0.691917038 0.053863970 -0.003271357 0.826857087 0.559817227
1788506799.498558998 -35.721946373 -59.213528467 0.697156207 0.050928652 0.002032017 0.828755923 0.557284275
1788506799.598350048 -35.724718302 -59.203116875 0.692548145 0.054194447 -0.000873981 0.829059941 0.556526561
1788506799.698195934 -35.747035777 -59.153389124 0.687340181 0.052942621 0.004632346 0.829494006 0.555981397
1788506799.798038006 -35.748715456 -59.130889854 0.689157035 0.053254815 0.001400952 0.829356419 0.556174336
1788506799.897871971 -35.774118785 -59.100661309 0.690987907 0.049794067 0.002344016 0.829919277 0.555651914
1788506799.997708082 -35.793177242 -59.081680999 0.705355628 0.052381138 0.000886848 0.829892471 0.555458294
1788506800.097604990 -35.797892050 -59.052999887 0.703944277 0.049366575 0.001585959 0.830196531 0.555278440
1788506800.197504044 -35.818226070 -59.031072574 0.701124394 0.049497163 0.001083307 0.830567037 0.554713669
1788506800.297390938 -35.828324236 -58.999717623 0.701289611 0.050490127 0.002087319 0.830599670 0.554572428
1788506800.397229910 -35.846951061 -58.981778196 0.700968020 0.051444183 -0.000245550 0.830961826 0.553945737
1788506800.497108936 -35.850448430 -58.946868729 0.708734914 0.050839118 0.001755156 0.831420725 0.553309932
1788506800.596959114 -35.867113608 -58.926994780 0.713805505 0.049741908 0.001321180 0.831665194 0.553043399
1788506800.696849108 -35.892693012 -58.882285411 0.708598328 0.047689760 0.001385550 0.831991066 0.552733782
1788506800.796653986 -35.899802572 -58.855848691 0.708721365 0.046790216 0.002065149 0.832657002 0.551804973
1788506800.896567106 -35.901503232 -58.835324964 0.710798653 0.052156768 0.000259338 0.832543164 0.551499307
1788506800.996388912 -35.917588840 -58.803117169 0.716898249 0.051320013 -0.000089475 0.833764570 0.549729833
1788506801.096338987 -35.937865215 -58.758063857 0.705702881 0.048379538 0.002250511 0.833975915 0.549671292
1788506801.196230888 -35.956153017 -58.726503491 0.685542897 0.048059873 0.001326324 0.834365477 0.549110864
1788506801.296125889 -35.975042524 -58.679563632 0.683495275 0.046883018 0.004075260 0.834476734 0.549030013
1788506801.396008015 -35.983055304 -58.655853669 0.682083871 0.045308996 0.002637188 0.834454764 0.549204322
1788506801.495851040 -35.984807800 -58.642062132 0.680690415 0.047048786 0.003415469 0.834662127 0.548738444
1788506801.595701933 -36.010414049 -58.604644731 0.681089504 0.046465126 0.002040920 0.834674035 0.548776896
1788506801.695596933 -36.014713090 -58.582157516 0.674574116 0.048433545 0.002645723 0.834315366 0.549149399
1788506801.795433998 -36.016575220 -58.565519901 0.674437651 0.049927352 0.001922088 0.834544776 0.548669830
1788506801.895320892 -36.032320234 -58.532028875 0.679388288 0.049254685 0.003565008 0.833958030 0.549613747
1788506801.995188951 -36.047433322 -58.506268551 0.677485966 0.047753151 0.003158276 0.833638961 0.550232446
1788506802.095053911 -36.063400717 -58.473214265 0.687906428 0.047899027 0.003888625 0.832865282 0.551385513
1788506802.194931984 -36.073668528 -58.458737739 0.691080502 0.049746753 0.000726482 0.832421721 0.551904712
1788506802.294785023 -36.089894256 -58.428576427 0.694564039 0.047807433 0.002695250 0.832466808 0.552001991
1788506802.394613981 -36.093463647 -58.389276086 0.704505995 0.045561755 0.005315236 0.833175198 0.551103406
1788506802.494498968 -36.096177949 -58.363533473 0.700234762 0.050040626 0.003658420 0.832814217 0.551274008
1788506802.594353914 -36.109689155 -58.312008606 0.700183581 0.047819225 0.006719759 0.833132370 0.550961542
1788506802.694232941 -36.111427602 -58.294183483 0.704417011 0.051763682 0.004266266 0.831808211 0.552627741
1788506802.794043064 -36.120259967 -58.276902926 0.705644230 0.052939573 0.003936771 0.831909115 0.552366842
1788506802.893951893 -36.120464364 -58.260448385 0.703920611 0.054795251 0.003448639 0.831046305 0.553486790
1788506802.993875980 -36.146596010 -58.223843876 0.709759497 0.048417729 0.006097323 0.830737099 0.554521792
1788506803.093753099 -36.156565809 -58.187168861 0.705111233 0.049961863 0.005714222 0.830849790 0.554219980
1788506803.193644047 -36.187490839 -58.148057744 0.696392865 0.046850151 0.006379104 0.830947026 0.554338714
1788506803.293484926 -36.176371104 -58.137385934 0.699274363 0.051579915 0.006214229 0.831187825 0.553559116
1788506803.393345118 -36.190575327 -58.082231491 0.695275672 0.048739393 0.008656566 0.831592839 0.553175275
1788506803.493222952 -36.200639872 -58.054468651 0.699413235 0.052709911 0.006634169 0.831460513 0.553038036
1788506803.593086958 -36.207549106 -58.023686901 0.699207248 0.051476051 0.007855285 0.831812727 0.552608449
